"id","name","code_prefix_start","code_prefix_end"
"pt_ag_6242113","Combustíveis - Mercado Nacional - VLPM - Sujeito a Tributação Autónoma (32%)","6242113","6242113"
"pt_ag_62421131","Combustíveis - Mercado Nacional - VLPM - Sujeito a TA (32%) - Gasolina","62421131","62421131"
"pt_ag_62421132","Combustíveis - Mercado Nacional - VLPM - Sujeito a TA (32%) - Gasóleo","62421132","62421132"
"pt_ag_6242114","Combustíveis - Mercado Nacional - VLPM - Sujeito a Tributação Autónoma (0%)","6242114","6242114"
"pt_ag_62421141","Combustíveis - Mercado Nacional - VLPM - Sujeito a TA (0%) - Gasolina","62421141","62421141"
"pt_ag_62421142","Combustíveis - Mercado Nacional - VLPM - Sujeito a TA (0%) - Gasóleo","62421142","62421142"
"pt_ag_624212","Combustíveis - Mercado Nacional - Viaturas Ligeiras de Passageiros Híbridas Plug-in","624212","624212"
"pt_ag_6242121","Combustíveis - Mercado Nacional - VLPHP - Sujeito a Tributação Autónoma (2,5%)","6242121","6242121"
"pt_ag_62421211","Combustíveis - Mercado Nacional - VLPHP - Sujeito a TA (2,5%) - Gasolina","62421211","62421211"
"pt_ag_62421212","Combustíveis - Mercado Nacional - VLPHP - Sujeito a TA (2,5%) - Gasóleo","62421212","62421212"
"pt_ag_6242122","Combustíveis - Mercado Nacional - VLPHP - Sujeito a Tributação Autónoma (7,5%)","6242122","6242122"
"pt_ag_62421221","Combustíveis - Mercado Nacional - VLPHP - Sujeito a TA (7,5%) - Gasolina","62421221","62421221"
"pt_ag_62421222","Combustíveis - Mercado Nacional - VLPHP - Sujeito a TA (7,5%) - Gasóleo","62421222","62421222"
"pt_ag_6242123","Combustíveis - Mercado Nacional - VLPHP - Sujeito a Tributação Autónoma (15%)","6242123","6242123"
"pt_ag_62421231","Combustíveis - Mercado Nacional - VLPHP - Sujeito a TA (15%) - Gasolina","62421231","62421231"
"pt_ag_62421232","Combustíveis - Mercado Nacional - VLPHP - Sujeito a TA (15%) - Gasóleo","62421232","62421232"
"pt_ag_6242124","Combustíveis - Mercado Nacional - VLPHP - Sujeito a Tributação Autónoma (0%)","6242124","6242124"
"pt_ag_62421241","Combustíveis - Mercado Nacional - VLPHP - Sujeito a TA (0%) - Gasolina","62421241","62421241"
"pt_ag_62421242","Combustíveis - Mercado Nacional - VLPHP - Sujeito a TA (0%) - Gasóleo","62421242","62421242"
"pt_ag_624213","Combustíveis - Mercado Nacional - Viaturas Ligeiras de Passageiros movidas a GPL ou GNV","624213","624213"
"pt_ag_6242131","Combustíveis - Mercado Nacional - GPL ou GNV - Sujeito a Tributação Autónoma (2,5%)","6242131","6242131"
